id,menu_name,price,restaurant_id
640,알탕,11000,327
641,아메리카노 R,4500,328
642,아메리카노,4500,329
643,라떼,5000,329
644,오리지널버블티,4000,330
645,우롱버블티,4000,330
646,스윙치즈치킨,13900,331
647,파닭순살후라이드,14900,331
648,부리또(비프/피쉬/트라타),9000,332
649,타코(비프/쉬림프/피쉬),8500,332
650,오야꼬동,8500,333
651,규동,9000,333
652,오야꼬동,8500,334
653,규동,9000,334
654,돼지쫄갈비,15000,335
655,꽃삼겸살,15000,335
656,어니언더블치즈버거,9500,336
657,BTD버거,8000,336
658,아메리카노대표,3500,337
659,생초콜릿라떼 [밀크],5700,337
660,부대찌개 1인,8000,338
661,모듬햄,4000,338
662,시그니처 바닐라라떼,6500,339
663,브라운치즈 크로플,6000,339
664,누텔라 크로플,6000,339
665,스페셜티 아메리카노,3500,340
666,크룽지,3200,340
667,프랭크버거세트,8000,341
668,치즈버거세트,8900,341
669,페스토 치킨(샌드위치),9400,342
670,이탈리안 콤보(샌드위치),9300,342
671,김치삼겹살,7900,343
672,소갈비살(150g),16000,343
673,고기더블소고기쌀국수,14000,344
674,소고기쌀국수,10000,344
675,고구마피자,10900,345
676,더블갈릭바베큐피자,13900,345
677,잠봉루꼴라피자,22000,346
678,마르게리따,19000,346
679,4가지맛 포메이징 쿼터 피자(L),25900,347
680,뉴욕치즈스테이크(L),23900,347
681,하남삽겹(고기만)400g,12900,348
682,하남삼겹,12900,348
683,"항,삼세트",13900,348
684,옥쓔푸딩파이,5000,349
685,쑥곰라떼,6500,349
686,마라탕,1800,350
687,마라향궈,3200,350
688,약과크림라떼,7300,351
689,애플시나몬라떼,6300,351
690,껍데기 600g,18000,352
691,삼겹살 600g,37000,352
692,동백,6200,353
693,왕카레돈까스덮밥,6100,353
694,돈치 고기고기,5200,353
695,곱창덮밥,9900,355
696,간장삼겹덮밥,10900,355
697,한식뷔페,9000,356
698,제육쭈꾸미,9000,356
699,한우등심,45000,357
700,한우차돌,32000,357
701,모래집,10000,358
702,오돌뼈,12000,358
703,우삼겹순두부찌개,8000,359
704,전주비빙치즈밥,8000,359
705,아메리카노,3000,360
706,샤케라또,4000,360
707,아메리카노,4000,361
708,라떼,4500,361
709,해적스페셜 1인기준,60000,362
710,해적회정식 1인기준,45000,362
711,큐브스테이크덮밥,12900,363
712,카라이라멘,10500,363
713,LOX Bagel,6500,364
714,아보카도 연어 샐러글,7500,364
715,간장연새덮밥,10400,365
